locus_id	sample_id	group	n_overlapping_peaks	peak_present	covered_bp	mean_RPGC
1	018	AML	0	FALSE	501	0
1	027	AML	0	FALSE	501	0.06922580953129752
1	103	PBMC	0	FALSE	501	0
1	1360	AML	0	FALSE	501	0.24744950130790055
1	168	AML	0	FALSE	501	1.2930618703008412
1	1916	AML	0	FALSE	501	0.9734308103363433
1	260	AML	0	FALSE	501	0.5739940140775578
1	270	AML	0	FALSE	501	2.4052498383436376
1	472	AML	0	FALSE	501	0.9926142709221907
1	546	AML	0	FALSE	501	1.1415427292654377
1	566	AML	0	FALSE	501	2.237959742308139
1	576	PBMC	0	FALSE	501	0
1	629	AML	0	FALSE	501	0.9994125556565092
1	673	PBMC	1	TRUE	501	1.9907075142908002
1	773	AML	0	FALSE	501	0.9200709827407867
1	990	AML	0	FALSE	501	0.200908588554093
2	018	AML	0	FALSE	501	0
2	027	AML	0	FALSE	501	0.5175453379244623
2	103	PBMC	0	FALSE	501	0.7636435207968463
2	1360	AML	0	FALSE	501	1.3924623699245338
2	168	AML	0	FALSE	501	0.13888922042237548
2	1916	AML	0	FALSE	501	2.1670167469930743
2	260	AML	0	FALSE	501	0
2	270	AML	0	FALSE	501	1.937447732556128
2	472	AML	0	FALSE	501	0.2614001994599363
2	546	AML	0	FALSE	501	2.578848541377785
2	566	AML	1	TRUE	501	2.791110190564763
2	576	PBMC	0	FALSE	501	0
2	629	AML	0	FALSE	501	0.9994125723124978
2	673	PBMC	0	FALSE	501	0.7371450779204834
2	773	AML	0	FALSE	501	1.4162349158418392
2	990	AML	0	FALSE	501	1.3812489376334611
3	018	AML	0	FALSE	501	0
3	027	AML	0	FALSE	501	0.7252217671590413
3	103	PBMC	0	FALSE	501	2.585366392920831
3	1360	AML	0	FALSE	501	1.183254681185572
3	168	AML	0	FALSE	501	2.0291760496036737
3	1916	AML	0	FALSE	501	1.683538911823265
3	260	AML	0	FALSE	501	0
3	270	AML	0	FALSE	501	1.7387349020221277
3	472	AML	0	FALSE	501	1.4942200590750414
3	546	AML	1	TRUE	501	2.7448894887151356
3	566	AML	0	FALSE	501	0.41716708061461916
3	576	PBMC	0	FALSE	501	0
3	629	AML	0	FALSE	501	0.6359898187443168
3	673	PBMC	0	FALSE	501	0.6663445940988506
3	773	AML	0	FALSE	501	1.0597676240993354
