region	cpg_count	n_intervals	percent_intervals
DNMT3A_intron2	1	231	89.53488372093024
DNMT3A_intron2	2	25	9.689922480620154
DNMT3A_intron2	3	1	0.3875968992248062
DNMT3A_intron2	4	1	0.3875968992248062
DNMT3A_window	1	11707	83.59754355898315
DNMT3A_window	2	1781	12.717794915738361
DNMT3A_window	3	333	2.377892030848329
DNMT3A_window	4	78	0.5569837189374465
DNMT3A_window	5	27	0.1928020565552699
DNMT3A_window	6	23	0.16423878891745217
DNMT3A_window	7	17	0.1213938874607255
DNMT3A_window	8	8	0.057126535275635534
DNMT3A_window	9	1	0.007140816909454442
DNMT3A_window	10	5	0.03570408454727221
DNMT3A_window	11	6	0.04284490145672665
DNMT3A_window	12	3	0.021422450728363324
DNMT3A_window	13	3	0.021422450728363324
DNMT3A_window	14	2	0.014281633818908884
DNMT3A_window	15	3	0.021422450728363324
DNMT3A_window	16	2	0.014281633818908884
DNMT3A_window	17	1	0.007140816909454442
DNMT3A_window	20	1	0.007140816909454442
DNMT3A_window	24	1	0.007140816909454442
DNMT3A_window	27	1	0.007140816909454442
DNMT3A_window	35	1	0.007140816909454442
