GSM	fname	url	GSE	sample_id	group	assay	mark	title
GSM4603020	GSM4603020_576_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603020/suppl//GSM4603020_576_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	576	PBMC	RNA-seq	NA	576_RNA-seq
GSM4603021	GSM4603021_103_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603021/suppl//GSM4603021_103_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	103	PBMC	RNA-seq	NA	103_RNA-seq
GSM4603022	GSM4603022_673_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603022/suppl//GSM4603022_673_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	673	PBMC	RNA-seq	NA	673_RNA-seq
GSM4603023	GSM4603023_629_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603023/suppl//GSM4603023_629_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	629	AML	RNA-seq	NA	629_RNA-seq
GSM4603024	GSM4603024_270_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603024/suppl//GSM4603024_270_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	270	AML	RNA-seq	NA	270_RNA-seq
GSM4603025	GSM4603025_868_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603025/suppl//GSM4603025_868_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	868	AML	RNA-seq	NA	868_RNA-seq
GSM4603026	GSM4603026_773_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603026/suppl//GSM4603026_773_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	773	AML	RNA-seq	NA	773_RNA-seq
GSM4603027	GSM4603027_566_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603027/suppl//GSM4603027_566_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	566	AML	RNA-seq	NA	566_RNA-seq
GSM4603028	GSM4603028_018_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603028/suppl//GSM4603028_018_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	018	AML	RNA-seq	NA	018_RNA-seq
GSM4603029	GSM4603029_260_RNA-seq.RSEM.quant.genes.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603029/suppl//GSM4603029_260_RNA-seq.RSEM.quant.genes.txt.gz	GSE152096	260	AML	RNA-seq	NA	260_RNA-seq
