GSM	fname	url	GSE	sample_id	group	assay	mark	title
GSM4603047	GSM4603047_allc_103.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603047/suppl//GSM4603047_allc_103.CGN.10bp.bw	GSE152099	103	PBMC	WGBS	NA	103_WGBS
GSM4603048	GSM4603048_allc_673.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603048/suppl//GSM4603048_allc_673.CGN.10bp.bw	GSE152099	673	PBMC	WGBS	NA	673_WGBS
GSM4603049	GSM4603049_allc_629.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603049/suppl//GSM4603049_allc_629.CGN.10bp.bw	GSE152099	629	AML	WGBS	NA	629_WGBS
GSM4603050	GSM4603050_allc_270.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603050/suppl//GSM4603050_allc_270.CGN.10bp.bw	GSE152099	270	AML	WGBS	NA	270_WGBS
GSM4603051	GSM4603051_allc_773.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603051/suppl//GSM4603051_allc_773.CGN.10bp.bw	GSE152099	773	AML	WGBS	NA	773_WGBS
GSM4603052	GSM4603052_allc_566.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603052/suppl//GSM4603052_allc_566.CGN.10bp.bw	GSE152099	566	AML	WGBS	NA	566_WGBS
GSM4603053	GSM4603053_allc_18.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603053/suppl//GSM4603053_allc_18.CGN.10bp.bw	GSE152099	018	AML	WGBS	NA	018_WGBS
GSM4603054	GSM4603054_allc_260.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603054/suppl//GSM4603054_allc_260.CGN.10bp.bw	GSE152099	260	AML	WGBS	NA	260_WGBS
GSM4603055	GSM4603055_allc_546.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603055/suppl//GSM4603055_allc_546.CGN.10bp.bw	GSE152099	546	AML	WGBS	NA	546_WGBS
GSM4603056	GSM4603056_allc_472.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603056/suppl//GSM4603056_allc_472.CGN.10bp.bw	GSE152099	472	AML	WGBS	NA	472_WGBS
GSM4603057	GSM4603057_allc_168.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603057/suppl//GSM4603057_allc_168.CGN.10bp.bw	GSE152099	168	AML	WGBS	NA	168_WGBS
GSM4603058	GSM4603058_allc_27.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4603nnn/GSM4603058/suppl//GSM4603058_allc_27.CGN.10bp.bw	GSE152099	027	AML	WGBS	NA	027_WGBS
GSM5688604	GSM5688604_allc_1071.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688604/suppl//GSM5688604_allc_1071.CGN.10bp.bw	GSE152099	1071	AML	WGBS	NA	1071_WGBS
GSM5688605	GSM5688605_allc_1324.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688605/suppl//GSM5688605_allc_1324.CGN.10bp.bw	GSE152099	1324	AML	WGBS	NA	1324_WGBS
GSM5688606	GSM5688606_allc_424.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688606/suppl//GSM5688606_allc_424.CGN.10bp.bw	GSE152099	424	AML	WGBS	NA	424_WGBS
GSM5688607	GSM5688607_allc_496.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688607/suppl//GSM5688607_allc_496.CGN.10bp.bw	GSE152099	496	AML	WGBS	NA	496_WGBS
GSM5688608	GSM5688608_allc_504.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688608/suppl//GSM5688608_allc_504.CGN.10bp.bw	GSE152099	504	AML	WGBS	NA	504_WGBS
GSM5688609	GSM5688609_allc_798.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688609/suppl//GSM5688609_allc_798.CGN.10bp.bw	GSE152099	798	AML	WGBS	NA	798_WGBS
GSM5688610	GSM5688610_allc_838.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688610/suppl//GSM5688610_allc_838.CGN.10bp.bw	GSE152099	838	AML	WGBS	NA	838_WGBS
GSM5688611	GSM5688611_allc_933.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688611/suppl//GSM5688611_allc_933.CGN.10bp.bw	GSE152099	933	AML	WGBS	NA	933_WGBS
