GSM	fname	url	GSE	sample_id	group	assay	mark	title
GSM4604271	GSM4604271_576.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604271/suppl//GSM4604271_576.iced.mcool	GSE152135	576	PBMC	Hi-C	NA	576_Hi-C
GSM4604272	GSM4604272_103.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604272/suppl//GSM4604272_103.iced.mcool	GSE152135	103	PBMC	Hi-C	NA	103_Hi-C
GSM4604273	GSM4604273_673.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604273/suppl//GSM4604273_673.iced.mcool	GSE152135	673	PBMC	Hi-C	NA	673_Hi-C
GSM4604274	GSM4604274_629.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604274/suppl//GSM4604274_629.iced.mcool	GSE152135	629	AML	Hi-C	NA	629_Hi-C
GSM4604275	GSM4604275_270.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604275/suppl//GSM4604275_270.iced.mcool	GSE152135	270	AML	Hi-C	NA	270_Hi-C
GSM4604276	GSM4604276_868.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604276/suppl//GSM4604276_868.iced.mcool	GSE152135	868	AML	Hi-C	NA	868_Hi-C
GSM4604277	GSM4604277_773.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604277/suppl//GSM4604277_773.iced.mcool	GSE152135	773	AML	Hi-C	NA	773_Hi-C
GSM4604278	GSM4604278_1953.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604278/suppl//GSM4604278_1953.iced.mcool	GSE152135	1953	AML	Hi-C	NA	1953_Hi-C
GSM4604279	GSM4604279_566.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604279/suppl//GSM4604279_566.iced.mcool	GSE152135	566	AML	Hi-C	NA	566_Hi-C
GSM4604280	GSM4604280_018.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604280/suppl//GSM4604280_018.iced.mcool	GSE152135	018	AML	Hi-C	NA	018_Hi-C
GSM4604281	GSM4604281_260.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604281/suppl//GSM4604281_260.iced.mcool	GSE152135	260	AML	Hi-C	NA	260_Hi-C
GSM4604282	GSM4604282_546.iced.mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604282/suppl//GSM4604282_546.iced.mcool	GSE152135	546	AML	Hi-C	NA	546_Hi-C
