GSM	sample_id	group	assay	mark	track_type	title	status	bigwig_file	bigwig_size_bytes
GSM4604262	018	AML	ATAC-seq	NA	ATAC-seq	018_ATAC-seq	already_exists	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604262_018_ATAC-seq_DNMT3A.bw	52073
GSM4604269	027	AML	ATAC-seq	NA	ATAC-seq	027_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604269_027_ATAC-seq_DNMT3A.bw	87506
GSM4604267	1360	AML	ATAC-seq	NA	ATAC-seq	1360_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604267_1360_ATAC-seq_DNMT3A.bw	137730
GSM4604268	168	AML	ATAC-seq	NA	ATAC-seq	168_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604268_168_ATAC-seq_DNMT3A.bw	128585
GSM4604265	1916	AML	ATAC-seq	NA	ATAC-seq	1916_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604265_1916_ATAC-seq_DNMT3A.bw	120328
GSM4604263	260	AML	ATAC-seq	NA	ATAC-seq	260_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604263_260_ATAC-seq_DNMT3A.bw	55130
GSM4604259	270	AML	ATAC-seq	NA	ATAC-seq	270_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604259_270_ATAC-seq_DNMT3A.bw	87986
GSM4604266	472	AML	ATAC-seq	NA	ATAC-seq	472_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604266_472_ATAC-seq_DNMT3A.bw	104152
GSM4604264	546	AML	ATAC-seq	NA	ATAC-seq	546_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604264_546_ATAC-seq_DNMT3A.bw	113390
GSM4604261	566	AML	ATAC-seq	NA	ATAC-seq	566_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604261_566_ATAC-seq_DNMT3A.bw	163019
GSM4604258	629	AML	ATAC-seq	NA	ATAC-seq	629_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604258_629_ATAC-seq_DNMT3A.bw	100966
GSM4604260	773	AML	ATAC-seq	NA	ATAC-seq	773_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604260_773_ATAC-seq_DNMT3A.bw	84477
GSM4604270	990	AML	ATAC-seq	NA	ATAC-seq	990_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604270_990_ATAC-seq_DNMT3A.bw	109799
GSM4604256	103	PBMC	ATAC-seq	NA	ATAC-seq	103_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604256_103_ATAC-seq_DNMT3A.bw	140964
GSM4604255	576	PBMC	ATAC-seq	NA	ATAC-seq	576_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604255_576_ATAC-seq_DNMT3A.bw	82676
GSM4604257	673	PBMC	ATAC-seq	NA	ATAC-seq	673_ATAC-seq	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604257_673_ATAC-seq_DNMT3A.bw	175930
GSM4604209	018	AML	CUT&Tag	CTCF	CTCF	018_CUT&TAG_CTCF	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604209_018_CTCF_DNMT3A.bw	86027
