GSM	sample_id	group	assay	mark	track_type	status	n_intervals	file_size_bytes	elapsed_seconds	output_file	error_message	fname	url	GSE	title
GSM4604262	018	AML	ATAC-seq	NA	ATAC-seq	success	2750	100805	1.423340082168579	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604262_018_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604262_018_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604262/suppl//GSM4604262_018_ATAC-seq.10bp.RPGC.bigwig	GSE152134	018_ATAC-seq
GSM4604269	027	AML	ATAC-seq	NA	ATAC-seq	success	8270	312211	1.274317979812622	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604269_027_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604269_027_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604269/suppl//GSM4604269_027_ATAC-seq.10bp.RPGC.bigwig	GSE152134	027_ATAC-seq
GSM4604267	1360	AML	ATAC-seq	NA	ATAC-seq	success	16476	635950	1.5109539031982422	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604267_1360_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604267_1360_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604267/suppl//GSM4604267_1360_ATAC-seq.10bp.RPGC.bigwig	GSE152134	1360_ATAC-seq
GSM4604268	168	AML	ATAC-seq	NA	ATAC-seq	success	15804	618526	1.3231000900268555	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604268_168_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604268_168_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604268/suppl//GSM4604268_168_ATAC-seq.10bp.RPGC.bigwig	GSE152134	168_ATAC-seq
GSM4604265	1916	AML	ATAC-seq	NA	ATAC-seq	success	14762	568984	1.259091854095459	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604265_1916_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604265_1916_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604265/suppl//GSM4604265_1916_ATAC-seq.10bp.RPGC.bigwig	GSE152134	1916_ATAC-seq
GSM4604263	260	AML	ATAC-seq	NA	ATAC-seq	success	3283	117247	1.2809631824493408	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604263_260_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604263_260_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604263/suppl//GSM4604263_260_ATAC-seq.10bp.RPGC.bigwig	GSE152134	260_ATAC-seq
GSM4604259	270	AML	ATAC-seq	NA	ATAC-seq	success	8278	306131	1.2514760494232178	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604259_270_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604259_270_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604259/suppl//GSM4604259_270_ATAC-seq.10bp.RPGC.bigwig	GSE152134	270_ATAC-seq
GSM4604266	472	AML	ATAC-seq	NA	ATAC-seq	success	11594	440345	1.2089290618896484	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604266_472_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604266_472_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604266/suppl//GSM4604266_472_ATAC-seq.10bp.RPGC.bigwig	GSE152134	472_ATAC-seq
GSM4604264	546	AML	ATAC-seq	NA	ATAC-seq	success	13086	501895	1.2110061645507813	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604264_546_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604264_546_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604264/suppl//GSM4604264_546_ATAC-seq.10bp.RPGC.bigwig	GSE152134	546_ATAC-seq
GSM4604261	566	AML	ATAC-seq	NA	ATAC-seq	success	21838	873782	1.3663849830627441	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604261_566_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604261_566_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604261/suppl//GSM4604261_566_ATAC-seq.10bp.RPGC.bigwig	GSE152134	566_ATAC-seq
