locus_id	chrom	start_gr1	end_gr1	start_bed0	end_bed	summit_gr1	summit_bed0	representative_sample	representative_group	representative_qvalue	representative_signal	representative_normalized_rank
1	chr2	24737041	24737541	24737040	24737541	24737291	24737290	673	PBMC	2.3002	4.02493	0.21794871794871795
2	chr2	24749094	24749594	24749093	24749594	24749344	24749343	566	AML	2.06497	4.19528	0.09375
3	chr2	24765393	24765893	24765392	24765893	24765643	24765642	546	AML	2.99605	4.46361	0.13888888888888884
4	chr2	24768074	24768574	24768073	24768574	24768324	24768323	673	PBMC	3.04055	4.52805	0.5512820512820513
5	chr2	24773881	24774381	24773880	24774381	24774131	24774130	673	PBMC	2.3002	4.02493	0.20512820512820518
6	chr2	24785638	24786138	24785637	24786138	24785888	24785887	773	AML	5.73029	6.08874	0.5666666666666667
7	chr2	24793117	24793617	24793116	24793617	24793367	24793366	576	PBMC	57.7926	20.17699	1
8	chr2	24827574	24828074	24827573	24828074	24827824	24827823	566	AML	5.79122	5.77212	0.96875
9	chr2	24834095	24834595	24834094	24834595	24834345	24834344	260	AML	2.70901	4.4157	0.5
10	chr2	24838064	24838564	24838063	24838564	24838314	24838313	673	PBMC	2.79597	3.25253	0.39743589743589747
11	chr2	24847398	24847898	24847397	24847898	24847648	24847647	1360	AML	2.1995	4.18408	0.31034482758620685
12	chr2	24852189	24852689	24852188	24852689	24852439	24852438	673	PBMC	5.03281	4.15119	0.8461538461538461
13	chr2	24865812	24866312	24865811	24866312	24866062	24866061	673	PBMC	3.6058500000000002	4.80677	0.641025641025641
14	chr2	24872241	24872741	24872240	24872741	24872491	24872490	566	AML	2.19085	3.82462	0.21875
15	chr2	24877328	24877828	24877327	24877828	24877578	24877577	566	AML	2.37207	3.823	0.375
16	chr2	24886534	24887034	24886533	24887034	24886784	24886783	673	PBMC	3.40289	4.49824	0.6153846153846154
17	chr2	24913813	24914313	24913812	24914313	24914063	24914062	673	PBMC	3.87629	4.05145	0.7307692307692308
18	chr2	24919182	24919682	24919181	24919682	24919432	24919431	576	PBMC	3.1876	4.58558	0.368421052631579
19	chr2	24919842	24920342	24919841	24920342	24920092	24920091	103	PBMC	3.15319	4.24481	0.3939393939393939
20	chr2	24920458	24920958	24920457	24920958	24920708	24920707	576	PBMC	3.24559	4.62428	0.39473684210526316
21	chr2	24921095	24921595	24921094	24921595	24921345	24921344	990	AML	3.48267	4.61775	0.20588235294117652
22	chr2	24924799	24925299	24924798	24925299	24925049	24925048	270	AML	2.19211	4.19375	0
23	chr2	24926421	24926921	24926420	24926921	24926671	24926670	546	AML	6.23711	6.04382	0.4444444444444444
24	chr2	24926923	24927423	24926922	24927423	24927173	24927172	990	AML	2.5955	4.10467	0
