locus_id	chrom	start_gr1	end_gr1	start_bed0	end_bed	summit_gr1	summit_bed0	representative_sample	representative_group	representative_qvalue	representative_signal	representative_normalized_rank	AML_n_patients	PBMC_n_patients	AML_n_peak_positive	PBMC_n_peak_positive	AML_peak_fraction	PBMC_peak_fraction	AML_group_mean_RPGC	PBMC_group_mean_RPGC	AML_group_median_RPGC	PBMC_group_median_RPGC	peak_fraction_difference	mean_RPGC_difference	median_RPGC_difference
1	chr2	24737041	24737541	24737040	24737541	24737291	24737290	673	PBMC	2.3002	4.02493	0.21794871794871795	13	3	0	1	0	0.3333333333333333	0.9273015933342104	0.6635691714302667	0.9734308103363433	0	-0.3333333333333333	0.26373242190394364	0.9734308103363433
2	chr2	24749094	24749594	24749093	24749594	24749344	24749343	566	AML	2.06497	4.19528	0.09375	13	3	1	0	0.07692307692307693	0	1.1985859050008352	0.5002628662391099	1.3812489376334611	0.7371450779204834	0.07692307692307693	0.6983230387617253	0.6441038597129777
3	chr2	24765393	24765893	24765392	24765893	24765643	24765642	546	AML	2.99605	4.46361	0.13888888888888884	13	3	1	0	0.07692307692307693	0	1.0760161301772313	1.0839036623398939	1.0597676240993354	0.6663445940988506	0.07692307692307693	-0.00788753216266258	0.39342303000048484
4	chr2	24768074	24768574	24768073	24768574	24768324	24768323	673	PBMC	3.04055	4.52805	0.5512820512820513	13	3	0	1	0	0.3333333333333333	0.33764906239257	0.8578634726073213	0.260124780460746	1.1669769182414589	-0.3333333333333333	-0.5202144102147513	-0.9068521377807128
5	chr2	24773881	24774381	24773880	24774381	24774131	24774130	673	PBMC	2.3002	4.02493	0.20512820512820518	13	3	0	1	0	0.3333333333333333	1.3150509312536134	1.6706756306186328	1.2416944056451915	2.1255650835598776	-0.3333333333333333	-0.3556246993650194	-0.8838706779146861
6	chr2	24785638	24786138	24785637	24786138	24785888	24785887	773	AML	5.73029	6.08874	0.5666666666666667	13	3	3	1	0.23076923076923078	0.3333333333333333	3.369012110210977	3.0362728598192383	2.847012668312667	3.4646338399298893	-0.10256410256410253	0.3327392503917386	-0.6176211716172224
7	chr2	24793117	24793617	24793116	24793617	24793367	24793366	576	PBMC	57.7926	20.17699	1	13	3	13	3	1	1	22.481197928130378	29.012330280965116	15.967185090877814	20.03625982678579	0	-6.531132352834739	-4.069074735907977
8	chr2	24827574	24828074	24827573	24828074	24827824	24827823	566	AML	5.79122	5.77212	0.96875	13	3	3	2	0.23076923076923078	0.6666666666666666	3.800386578938241	5.39740863345261	3.3674361082370172	5.963790029584767	-0.43589743589743585	-1.597022054514369	-2.59635392134775
9	chr2	24834095	24834595	24834094	24834595	24834345	24834344	260	AML	2.70901	4.4157	0.5	13	3	1	0	0.07692307692307693	0	2.0110827103273197	2.2445543197814577	1.8311211158653458	2.309755605613876	0.07692307692307693	-0.23347160945413803	-0.4786344897485302
10	chr2	24838064	24838564	24838063	24838564	24838314	24838313	673	PBMC	2.79597	3.25253	0.39743589743589747	13	3	0	1	0	0.3333333333333333	1.7168029775894789	2.51142861223665	1.6089199479230625	1.3250069618225098	-0.3333333333333333	-0.794625634647171	0.2839129861005527
11	chr2	24847398	24847898	24847397	24847898	24847648	24847647	1360	AML	2.1995	4.18408	0.31034482758620685	13	3	1	0	0.07692307692307693	0	1.1664050119951466	1.8708208560229775	0.9107648541113573	0.9709716466610541	0.07692307692307693	-0.704415844027831	-0.06020679254969674
12	chr2	24852189	24852689	24852188	24852689	24852439	24852438	673	PBMC	5.03281	4.15119	0.8461538461538461	13	3	0	1	0	0.3333333333333333	1.9462556357429852	3.4518290318732094	2.1756636549136834	1.8418889609639517	-0.3333333333333333	-1.5055733961302242	0.3337746939497317
13	chr2	24865812	24866312	24865811	24866312	24866062	24866061	673	PBMC	3.6058500000000002	4.80677	0.641025641025641	13	3	0	1	0	0.3333333333333333	1.0513352751457323	1.846444446328316	0.877780398922766	1.215378085296311	-0.3333333333333333	-0.7951091711825837	-0.3375976863735449
14	chr2	24872241	24872741	24872240	24872741	24872491	24872490	566	AML	2.19085	3.82462	0.21875	13	3	1	1	0.07692307692307693	0.3333333333333333	1.7156721846255292	2.450406604580933	0.9730593639457535	2.5504113364362433	-0.2564102564102564	-0.7347344199554038	-1.5773519724904896
15	chr2	24877328	24877828	24877327	24877828	24877578	24877577	566	AML	2.37207	3.823	0.375	13	3	1	0	0.07692307692307693	0	1.7584241849384457	2.4047494734118797	1.5238185262013815	1.0795888382041763	0.07692307692307693	-0.6463252884734341	0.4442296879972052
16	chr2	24886534	24887034	24886533	24887034	24886784	24886783	673	PBMC	3.40289	4.49824	0.6153846153846154	13	3	3	2	0.23076923076923078	0.6666666666666666	2.890342410123606	3.6774101979083724	2.246876928382767	3.447155259564489	-0.43589743589743585	-0.7870677877847663	-1.200278331181722
17	chr2	24913813	24914313	24913812	24914313	24914063	24914062	673	PBMC	3.87629	4.05145	0.7307692307692308	13	3	0	1	0	0.3333333333333333	1.0588137452071225	3.224181335446681	0.922226803983281	1.8082778087395155	-0.3333333333333333	-2.1653675902395584	-0.8860510047562344
18	chr2	24919182	24919682	24919181	24919682	24919432	24919431	576	PBMC	3.1876	4.58558	0.368421052631579	13	3	0	1	0	0.3333333333333333	2.423797067072321	4.589034169416625	2.274278211260508	4.110515934740474	-0.3333333333333333	-2.1652371023443036	-1.8362377234799658
19	chr2	24919842	24920342	24919841	24920342	24920092	24920091	103	PBMC	3.15319	4.24481	0.3939393939393939	13	3	2	1	0.15384615384615385	0.3333333333333333	3.1982390856607417	4.075496370127736	3.583719738943134	3.9540108025906804	-0.17948717948717946	-0.8772572844669941	-0.37029106364754627
20	chr2	24920458	24920958	24920457	24920958	24920708	24920707	576	PBMC	3.24559	4.62428	0.39473684210526316	13	3	0	1	0	0.3333333333333333	2.826846157792488	5.233468620720024	2.6355492302519594	4.348943102145624	-0.3333333333333333	-2.406622462927536	-1.7133938718936643
