chrom	start	end	value	sample_id	group
chr2	24728770	24728780	1	018	AML
chr2	24728830	24728840	0.9230769276618958	018	AML
chr2	24728990	24729000	0.978723406791687	018	AML
chr2	24729000	24729010	1	018	AML
chr2	24729060	24729070	0.9230769276618958	018	AML
chr2	24729330	24729340	1	018	AML
chr2	24729430	24729440	1	018	AML
chr2	24729540	24729550	1	018	AML
chr2	24729550	24729560	0.8888888955116272	018	AML
chr2	24729670	24729680	1	018	AML
chr2	24729690	24729700	1	018	AML
chr2	24729750	24729760	1	018	AML
chr2	24729770	24729780	1	018	AML
chr2	24729790	24729800	1	018	AML
chr2	24729860	24729870	1	018	AML
chr2	24729920	24729930	1	018	AML
chr2	24729930	24729940	1	018	AML
chr2	24729960	24729970	1	018	AML
chr2	24729970	24729980	1	018	AML
chr2	24730060	24730070	1	018	AML
chr2	24730090	24730100	1	018	AML
chr2	24730120	24730130	1	018	AML
chr2	24730130	24730140	0.875	018	AML
chr2	24730640	24730650	1	018	AML
chr2	24730650	24730660	1	018	AML
chr2	24730740	24730750	1	018	AML
chr2	24730750	24730760	1	018	AML
chr2	24730760	24730770	1	018	AML
chr2	24730790	24730800	1	018	AML
chr2	24730820	24730830	0.75	018	AML
chr2	24730830	24730840	1	018	AML
chr2	24730890	24730900	1	018	AML
chr2	24730900	24730910	1	018	AML
chr2	24730960	24730970	1	018	AML
chr2	24730980	24730990	1	018	AML
chr2	24731540	24731550	0	018	AML
chr2	24731790	24731800	1	018	AML
chr2	24731800	24731810	1	018	AML
chr2	24731940	24731950	0.8571428656578064	018	AML
chr2	24732370	24732380	0.9285714030265808	018	AML
chr2	24732420	24732430	1	018	AML
chr2	24732430	24732440	1	018	AML
chr2	24732480	24732490	1	018	AML
chr2	24732490	24732500	1	018	AML
chr2	24732790	24732800	1	018	AML
chr2	24733010	24733020	1	018	AML
chr2	24733130	24733140	1	018	AML
chr2	24733350	24733360	0.8999999761581421	018	AML
chr2	24733460	24733470	0.8888888955116272	018	AML
chr2	24733480	24733490	1	018	AML
chr2	24733500	24733510	0.8333333134651184	018	AML
chr2	24733510	24733520	1	018	AML
chr2	24733530	24733540	1	018	AML
chr2	24733550	24733560	1	018	AML
chr2	24733910	24733920	1	018	AML
chr2	24733920	24733930	1	018	AML
chr2	24733940	24733950	1	018	AML
chr2	24733950	24733960	0.7272727489471436	018	AML
chr2	24733980	24733990	1	018	AML
chr2	24734010	24734020	1	018	AML
chr2	24734050	24734060	0.8999999761581421	018	AML
chr2	24734090	24734100	0.8999999761581421	018	AML
chr2	24734160	24734170	1	018	AML
chr2	24734310	24734320	1	018	AML
chr2	24734470	24734480	1	018	AML
chr2	24734550	24734560	0.875	018	AML
chr2	24734880	24734890	1	018	AML
chr2	24734980	24734990	1	018	AML
chr2	24735160	24735170	0.800000011920929	018	AML
chr2	24735170	24735180	1	018	AML
chr2	24735340	24735350	1	018	AML
chr2	24735440	24735450	1	018	AML
chr2	24735770	24735780	0.8571428656578064	018	AML
chr2	24735800	24735810	1	018	AML
chr2	24735840	24735850	0.8999999761581421	018	AML
chr2	24736010	24736020	1	018	AML
chr2	24736130	24736140	1	018	AML
chr2	24736210	24736220	1	018	AML
chr2	24736270	24736280	1	018	AML
chr2	24736280	24736290	0.6666666865348816	018	AML
chr2	24736430	24736440	1	018	AML
chr2	24736460	24736470	1	018	AML
chr2	24736770	24736780	1	018	AML
chr2	24736780	24736790	1	018	AML
chr2	24736810	24736820	0.875	018	AML
chr2	24736950	24736960	1	018	AML
chr2	24737020	24737030	1	018	AML
chr2	24737160	24737170	1	018	AML
chr2	24737720	24737730	1	018	AML
chr2	24737730	24737740	1	018	AML
chr2	24737770	24737780	1	018	AML
chr2	24737800	24737810	1	018	AML
chr2	24738230	24738240	0.9090909361839294	018	AML
chr2	24738360	24738370	0.7777777910232544	018	AML
chr2	24738630	24738640	1	018	AML
chr2	24739170	24739180	1	018	AML
chr2	24739370	24739380	1	018	AML
chr2	24739380	24739390	1	018	AML
chr2	24739440	24739450	1	018	AML
chr2	24739550	24739560	0.8461538553237915	018	AML
chr2	24739800	24739810	0.8888888955116272	018	AML
chr2	24739830	24739840	1	018	AML
chr2	24739840	24739850	0.7142857313156128	018	AML
chr2	24739850	24739860	0.75	018	AML
chr2	24739860	24739870	0.875	018	AML
chr2	24740490	24740500	0.8888888955116272	018	AML
chr2	24740540	24740550	1	018	AML
chr2	24741190	24741200	1	018	AML
chr2	24741520	24741530	1	018	AML
chr2	24741810	24741820	1	018	AML
chr2	24741820	24741830	1	018	AML
chr2	24741840	24741850	1	018	AML
chr2	24741950	24741960	1	018	AML
chr2	24742030	24742040	1	018	AML
chr2	24742080	24742090	1	018	AML
chr2	24742300	24742310	1	018	AML
chr2	24742440	24742450	1	018	AML
chr2	24742480	24742490	1	018	AML
chr2	24742550	24742560	0.5	018	AML
chr2	24742580	24742590	1	018	AML
chr2	24742610	24742620	1	018	AML
chr2	24742710	24742720	1	018	AML
chr2	24742810	24742820	1	018	AML
chr2	24743520	24743530	1	018	AML
chr2	24744010	24744020	1	018	AML
chr2	24744020	24744030	1	018	AML
chr2	24744030	24744040	1	018	AML
chr2	24744150	24744160	1	018	AML
chr2	24744670	24744680	1	018	AML
chr2	24744940	24744950	1	018	AML
chr2	24745190	24745200	1	018	AML
chr2	24745200	24745210	1	018	AML
chr2	24745220	24745230	1	018	AML
chr2	24745230	24745240	1	018	AML
chr2	24745250	24745260	1	018	AML
chr2	24745260	24745270	1	018	AML
chr2	24745280	24745290	1	018	AML
chr2	24745300	24745310	1	018	AML
chr2	24745310	24745320	1	018	AML
chr2	24745320	24745330	1	018	AML
chr2	24745390	24745400	1	018	AML
chr2	24745410	24745420	1	018	AML
chr2	24745440	24745450	1	018	AML
chr2	24745450	24745460	1	018	AML
chr2	24745830	24745840	1	018	AML
chr2	24746060	24746070	0.8571428656578064	018	AML
chr2	24746260	24746270	1	018	AML
chr2	24746270	24746280	1	018	AML
chr2	24746280	24746290	1	018	AML
chr2	24746350	24746360	1	018	AML
chr2	24746360	24746370	1	018	AML
chr2	24746410	24746420	0.8571428656578064	018	AML
chr2	24746430	24746440	0.6666666865348816	018	AML
chr2	24746470	24746480	1	018	AML
chr2	24746480	24746490	1	018	AML
chr2	24746490	24746500	1	018	AML
chr2	24746730	24746740	0.8571428656578064	018	AML
chr2	24746830	24746840	0.8333333134651184	018	AML
chr2	24746840	24746850	1	018	AML
chr2	24747290	24747300	0.8571428656578064	018	AML
chr2	24747380	24747390	1	018	AML
chr2	24747390	24747400	1	018	AML
chr2	24747480	24747490	1	018	AML
chr2	24747490	24747500	1	018	AML
chr2	24747510	24747520	1	018	AML
chr2	24747890	24747900	1	018	AML
chr2	24747900	24747910	1	018	AML
chr2	24747960	24747970	1	018	AML
chr2	24747970	24747980	1	018	AML
chr2	24748030	24748040	0.8888888955116272	018	AML
chr2	24748100	24748110	1	018	AML
chr2	24748180	24748190	1	018	AML
chr2	24748300	24748310	1	018	AML
chr2	24748330	24748340	1	018	AML
chr2	24748340	24748350	0.8999999761581421	018	AML
chr2	24748370	24748380	1	018	AML
chr2	24748380	24748390	0.875	018	AML
chr2	24748500	24748510	0.9090909361839294	018	AML
chr2	24748570	24748580	1	018	AML
chr2	24748600	24748610	1	018	AML
chr2	24748610	24748620	1	018	AML
chr2	24748650	24748660	1	018	AML
chr2	24749230	24749240	1	018	AML
chr2	24749410	24749420	1	018	AML
chr2	24749420	24749430	1	018	AML
chr2	24749430	24749440	1	018	AML
chr2	24749590	24749600	1	018	AML
chr2	24750350	24750360	1	018	AML
chr2	24750740	24750750	1	018	AML
chr2	24750750	24750760	0.875	018	AML
chr2	24750820	24750830	1	018	AML
chr2	24751040	24751050	1	018	AML
chr2	24751050	24751060	1	018	AML
chr2	24751090	24751100	0.8333333134651184	018	AML
chr2	24751130	24751140	1	018	AML
chr2	24751180	24751190	1	018	AML
chr2	24751210	24751220	1	018	AML
chr2	24751240	24751250	1	018	AML
chr2	24751260	24751270	1	018	AML
chr2	24751300	24751310	1	018	AML
chr2	24751310	24751320	1	018	AML
chr2	24751350	24751360	1	018	AML
chr2	24751370	24751380	1	018	AML
chr2	24751380	24751390	0.8333333134651184	018	AML
chr2	24751410	24751420	1	018	AML
chr2	24751450	24751460	1	018	AML
chr2	24751530	24751540	1	018	AML
chr2	24751580	24751590	1	018	AML
chr2	24751710	24751720	0.800000011920929	018	AML
chr2	24751740	24751750	1	018	AML
chr2	24751830	24751840	1	018	AML
chr2	24752040	24752050	1	018	AML
chr2	24752090	24752100	1	018	AML
chr2	24752100	24752110	1	018	AML
chr2	24752140	24752150	1	018	AML
chr2	24752260	24752270	1	018	AML
chr2	24752300	24752310	1	018	AML
chr2	24752310	24752320	1	018	AML
chr2	24752320	24752330	1	018	AML
chr2	24752750	24752760	1	018	AML
chr2	24753750	24753760	0.9230769276618958	018	AML
chr2	24754260	24754270	1	018	AML
chr2	24754270	24754280	1	018	AML
chr2	24754330	24754340	1	018	AML
chr2	24754390	24754400	1	018	AML
chr2	24754440	24754450	1	018	AML
chr2	24754640	24754650	1	018	AML
chr2	24754890	24754900	1	018	AML
chr2	24755040	24755050	0.8571428656578064	018	AML
chr2	24755130	24755140	0.9375	018	AML
chr2	24755630	24755640	1	018	AML
chr2	24755870	24755880	1	018	AML
chr2	24755990	24756000	1	018	AML
chr2	24756110	24756120	1	018	AML
chr2	24756120	24756130	1	018	AML
chr2	24756140	24756150	1	018	AML
chr2	24756190	24756200	0.8888888955116272	018	AML
chr2	24756200	24756210	1	018	AML
chr2	24756210	24756220	1	018	AML
chr2	24756550	24756560	1	018	AML
chr2	24757080	24757090	1	018	AML
chr2	24757370	24757380	1	018	AML
chr2	24757550	24757560	1	018	AML
chr2	24758000	24758010	1	018	AML
chr2	24758040	24758050	1	018	AML
chr2	24758060	24758070	1	018	AML
chr2	24758170	24758180	1	018	AML
chr2	24758730	24758740	1	018	AML
chr2	24758770	24758780	0.8666666746139526	018	AML
chr2	24758840	24758850	0.7857142686843872	018	AML
chr2	24758940	24758950	1	018	AML
chr2	24759590	24759600	1	018	AML
chr2	24760170	24760180	1	018	AML
chr2	24760240	24760250	0.6666666865348816	018	AML
chr2	24760280	24760290	1	018	AML
chr2	24760290	24760300	1	018	AML
chr2	24760300	24760310	1	018	AML
chr2	24760400	24760410	1	018	AML
chr2	24760430	24760440	1	018	AML
chr2	24760440	24760450	1	018	AML
chr2	24760450	24760460	1	018	AML
chr2	24760480	24760490	1	018	AML
chr2	24760830	24760840	1	018	AML
chr2	24760900	24760910	1	018	AML
chr2	24760990	24761000	1	018	AML
chr2	24761030	24761040	1	018	AML
chr2	24761090	24761100	1	018	AML
chr2	24761120	24761130	1	018	AML
chr2	24761140	24761150	1	018	AML
chr2	24761260	24761270	1	018	AML
chr2	24761280	24761290	1	018	AML
chr2	24761780	24761790	0.8999999761581421	018	AML
chr2	24761860	24761870	1	018	AML
chr2	24762090	24762100	1	018	AML
