chrom	start	end	n_samples_AML	n_samples_PBMC	mean_signal_AML	mean_signal_PBMC	median_signal_AML	median_signal_PBMC	mean_diff_AML_minus_PBMC	median_diff_AML_minus_PBMC
chr2	24727880	24727890	13	3	0.259527692428002	0.224522332350413	0	0	0.035005360077589004	0
chr2	24727890	24727900	13	3	0.259527692428002	0.224522332350413	0	0	0.035005360077589004	0
chr2	24727900	24727910	13	3	0.259527692428002	0.224522332350413	0	0	0.035005360077589004	0
chr2	24727910	24727920	13	3	0.09998461833366981	0	0	0	0.09998461833366981	0
chr2	24727920	24727930	13	3	0.09998461833366981	0	0	0	0.09998461833366981	0
chr2	24727930	24727940	13	3	0.09998461833366981	0	0	0	0.09998461833366981	0
chr2	24727940	24727950	13	3	0.09998461833366981	0	0	0	0.09998461833366981	0
chr2	24727950	24727960	13	3	0.09998461833366981	0	0	0	0.09998461833366981	0
chr2	24727960	24727970	13	3	0.09998461833366981	0	0	0	0.09998461833366981	0
chr2	24727970	24727980	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24727980	24727990	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24727990	24728000	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24728000	24728010	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24728010	24728020	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24728020	24728030	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24728030	24728040	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24728040	24728050	13	3	0.23065307507148156	0	0	0	0.23065307507148156	0
chr2	24728050	24728060	13	3	0.37812538330371565	0	0	0	0.37812538330371565	0
chr2	24728060	24728070	13	3	0.5648038478998038	0	0	0	0.5648038478998038	0
chr2	24728070	24728080	13	3	0.5648038478998038	0	0	0	0.5648038478998038	0
chr2	24728080	24728090	13	3	0.3341507728283222	0	0	0	0.3341507728283222	0
chr2	24728090	24728100	13	3	0.3341507728283222	0.224522332350413	0	0	0.10962844047790918	0
chr2	24728100	24728110	13	3	0.3341507728283222	0.224522332350413	0	0	0.10962844047790918	0
chr2	24728110	24728120	13	3	0.3341507728283222	0.5722723205884298	0	0.673566997051239	-0.23812154776010763	-0.673566997051239
chr2	24728120	24728130	13	3	0.4173315396675697	0.7461456656455994	0	0.673566997051239	-0.32881412597802967	-0.673566997051239
chr2	24728130	24728140	13	3	0.5534661549788255	0.7461456656455994	0	0.673566997051239	-0.1926795106667739	-0.673566997051239
chr2	24728140	24728150	13	3	0.5534661549788255	0.7461456656455994	0	0.673566997051239	-0.1926795106667739	-0.673566997051239
chr2	24728150	24728160	13	3	0.5534661549788255	0.7461456656455994	0	0.673566997051239	-0.1926795106667739	-0.673566997051239
chr2	24728160	24728170	13	3	0.40599384674659145	0.7461456656455994	0	0.673566997051239	-0.3401518188990079	-0.673566997051239
chr2	24728170	24728180	13	3	0.3024961489897508	0.9200189709663391	0	0.673566997051239	-0.6175228219765883	-0.673566997051239
chr2	24728180	24728190	13	3	0.391319229052617	0.9200189709663391	0	0.673566997051239	-0.528699741913722	-0.673566997051239
chr2	24728190	24728200	13	3	0.391319229052617	0.9200189709663391	0	0.673566997051239	-0.528699741913722	-0.673566997051239
chr2	24728200	24728210	13	3	0.391319229052617	0.9200189709663391	0	0.673566997051239	-0.528699741913722	-0.673566997051239
chr2	24728210	24728220	13	3	0.391319229052617	0.5722723205884298	0	0.673566997051239	-0.1809530915358128	-0.673566997051239
chr2	24728220	24728230	13	3	0.391319229052617	0.5722723205884298	0	0.673566997051239	-0.1809530915358128	-0.673566997051239
chr2	24728230	24728240	13	3	0.3081384622133695	0.5722723205884298	0	0.673566997051239	-0.2641338583750603	-0.673566997051239
chr2	24728240	24728250	13	3	0.3719730835694533	0.5722723205884298	0	0.673566997051239	-0.2002992370189765	-0.673566997051239
chr2	24728250	24728260	13	3	0.3719730835694533	0.3477499882380168	0	0	0.024223095331436517	0
chr2	24728260	24728270	13	3	0.3719730835694533	0.3477499882380168	0	0	0.024223095331436517	0
chr2	24728270	24728280	13	3	0.3719730835694533	0.3477499882380168	0	0	0.024223095331436517	0
chr2	24728280	24728290	13	3	0.28879231673020583	0.17387433846791586	0	0	0.11491797826228997	0
chr2	24728290	24728300	13	3	0.19996923666733962	0.17387433846791586	0	0	0.02609489819942376	0
chr2	24728300	24728310	13	3	0.28879231673020583	0.17387433846791586	0	0	0.11491797826228997	0
chr2	24728310	24728320	13	3	0.5229584712248582	0.17387433846791586	0	0	0.3490841327569423	0
chr2	24728320	24728330	13	3	0.3229892345575186	0.17387433846791586	0	0	0.14911489608960274	0
chr2	24728330	24728340	13	3	0.43970384964576137	0	0	0	0.43970384964576137	0
chr2	24728340	24728350	13	3	0.6231807745420016	0	0	0	0.6231807745420016	0
chr2	24728350	24728360	13	3	0.6231807745420016	0	0	0	0.6231807745420016	0
chr2	24728360	24728370	13	3	0.79190155176016	0	0	0	0.79190155176016	0
chr2	24728370	24728380	13	3	0.8918861700938299	0	1.1547000408172607	0	0.8918861700938299	1.1547000408172607
chr2	24728380	24728390	13	3	1.1967423328986535	0.17387433846791586	1.2581900358200073	0	1.0228679944307377	1.2581900358200073
chr2	24728390	24728400	13	3	1.1967423328986535	0.17387433846791586	1.2581900358200073	0	1.0228679944307377	1.2581900358200073
chr2	24728400	24728410	13	3	1.3654630917769213	0.17387433846791586	1.2581900358200073	0	1.1915887533090055	1.2581900358200073
chr2	24728410	24728420	13	3	1.276640011714055	0.3477499882380168	1.2581900358200073	0	0.9288900234760382	1.2581900358200073
chr2	24728420	24728430	13	3	1.042474627494812	0.3477499882380168	0	0	0.6947246392567952	0
chr2	24728430	24728440	13	3	1.042474627494812	0.5216233332951864	0	0	0.5208512941996256	0
chr2	24728440	24728450	13	3	0.9257600124065692	0.5216233332951864	0	0	0.40413667911138285	0
chr2	24728450	24728460	13	3	0.7422823172349197	0.6954966386159261	0	0	0.04678567861899352	0
chr2	24728460	24728470	13	3	0.7422823172349197	0.6954966386159261	0	0	0.04678567861899352	0
chr2	24728470	24728480	13	3	0.5735615583566519	0.6954966386159261	0	0	-0.12193508025927424	0
chr2	24728480	24728490	13	3	0.47357694002298206	0.6954966386159261	0	0	-0.22191969859294408	0
chr2	24728490	24728500	13	3	0.16872077721815842	0.6954966386159261	0	0	-0.5267758613977678	0
chr2	24728500	24728510	13	3	0.16872077721815842	0.6954966386159261	0	0	-0.5267758613977678	0
chr2	24728510	24728520	13	3	0	0.6954966386159261	0	0	-0.6954966386159261	0
chr2	24728520	24728530	13	3	0.16636153367849496	0.6954966386159261	0	0	-0.5291351049374312	0
