group	chrom	start	end	mean_methylation	n_samples
AML	chr2	24728770	24728780	0.9613558219538795	18
AML	chr2	24728830	24728840	0.951009021864997	18
AML	chr2	24728990	24729000	0.9852990309397379	18
AML	chr2	24729000	24729010	0.9861361583073934	18
AML	chr2	24729060	24729070	0.9512283205986023	18
AML	chr2	24729330	24729340	0.9957264959812164	18
AML	chr2	24729430	24729440	0.9731184707747565	18
AML	chr2	24729540	24729550	0.9783950613604652	18
AML	chr2	24729550	24729560	0.9866296814547645	18
AML	chr2	24729670	24729680	0.9562007553047605	18
AML	chr2	24729690	24729700	0.9583424263530307	18
AML	chr2	24729750	24729760	0.9641203681627909	18
AML	chr2	24729770	24729780	0.971886631515291	18
AML	chr2	24729790	24729800	0.988090048233668	18
AML	chr2	24729860	24729870	0.989949494600296	18
AML	chr2	24729920	24729930	0.9881133271588219	18
AML	chr2	24729930	24729940	0.9888888895511627	18
AML	chr2	24729960	24729970	0.9846560855706533	18
AML	chr2	24729970	24729980	0.9803495109081268	18
AML	chr2	24730060	24730070	0.9793981479273902	18
AML	chr2	24730090	24730100	0.9758620262145996	18
AML	chr2	24730120	24730130	0.980452471309238	18
AML	chr2	24730130	24730140	0.9634335107273526	18
AML	chr2	24730640	24730650	0.8538186219003465	18
AML	chr2	24730650	24730660	0.8067460358142853	18
AML	chr2	24730740	24730750	0.9600667622354295	18
AML	chr2	24730750	24730760	0.9725188348028395	18
AML	chr2	24730760	24730770	0.9424344731701745	18
AML	chr2	24730790	24730800	0.8987247314718034	18
AML	chr2	24730820	24730830	0.9451058208942413	18
AML	chr2	24730830	24730840	0.970370372136434	18
AML	chr2	24730890	24730900	0.7488795553936678	17
AML	chr2	24730900	24730910	0.849439775242525	17
AML	chr2	24730960	24730970	1	16
AML	chr2	24730980	24730990	0.958112875620524	18
AML	chr2	24731540	24731550	0.6944885419474708	18
AML	chr2	24731790	24731800	0.9799382719728682	18
AML	chr2	24731800	24731810	0.990196077262654	17
AML	chr2	24731940	24731950	0.9796547889709473	18
AML	chr2	24732370	24732380	0.9784652988115946	18
AML	chr2	24732420	24732430	0.9764121174812317	18
AML	chr2	24732430	24732440	0.9777888026502397	18
AML	chr2	24732480	24732490	0.9576719601949056	18
AML	chr2	24732490	24732500	0.9494047628508674	18
AML	chr2	24732790	24732800	0.9584957758585612	18
AML	chr2	24732900	24732910	0.9250000007450581	16
AML	chr2	24733010	24733020	0.9679854147964053	18
AML	chr2	24733130	24733140	0.9757495555612776	18
AML	chr2	24733350	24733360	0.9676587283611298	18
AML	chr2	24733460	24733470	0.9735363390710619	18
AML	chr2	24733480	24733490	0.9798821541998122	18
AML	chr2	24733500	24733510	0.9833575387795767	18
AML	chr2	24733510	24733520	0.9873456789387597	18
AML	chr2	24733530	24733540	0.9764939314789243	18
AML	chr2	24733550	24733560	0.9905591872003343	18
AML	chr2	24733910	24733920	0.9737816751003265	18
AML	chr2	24733920	24733930	0.9905446072419485	18
AML	chr2	24733940	24733950	0.9234127004941305	18
AML	chr2	24733950	24733960	0.5742184424565898	18
AML	chr2	24733980	24733990	0.9653796056906382	18
AML	chr2	24734010	24734020	0.9616246488359239	18
AML	chr2	24734050	24734060	0.844290118250582	18
AML	chr2	24734090	24734100	0.9849206308523814	18
AML	chr2	24734160	24734170	1	18
AML	chr2	24734310	24734320	0.9877161218060387	18
AML	chr2	24734470	24734480	0.9835432602299584	18
AML	chr2	24734550	24734560	0.9736360907554626	18
AML	chr2	24734880	24734890	0.9601579540305667	18
AML	chr2	24734980	24734990	0.970424042807685	18
AML	chr2	24735160	24735170	0.9688271615240309	18
AML	chr2	24735170	24735180	0.9436274503960329	17
AML	chr2	24735340	24735350	0.9231472263733546	18
AML	chr2	24735440	24735450	0.9666005306773715	18
AML	chr2	24735770	24735780	0.9634920623567369	18
AML	chr2	24735800	24735810	0.9847697019577026	18
AML	chr2	24735840	24735850	0.9875514374838935	18
AML	chr2	24736010	24736020	0.9577044049898783	18
AML	chr2	24736130	24736140	0.9864734278784858	18
AML	chr2	24736210	24736220	0.9563492072953118	18
AML	chr2	24736270	24736280	0.20915032835567698	17
AML	chr2	24736430	24736440	0.9853835966851976	18
AML	chr2	24736460	24736470	0.9797673092948066	18
AML	chr2	24736770	24736780	0.9811431633101569	18
AML	chr2	24736780	24736790	0.9729857014285194	18
AML	chr2	24736810	24736820	0.9751623372236887	18
AML	chr2	24736950	24736960	0.9718574616644118	18
AML	chr2	24737020	24737030	0.9800758030679491	18
AML	chr2	24737160	24737170	0.9546296331617568	18
AML	chr2	24737720	24737730	0.9929453233877817	18
AML	chr2	24737730	24737740	0.988782051536772	18
AML	chr2	24737770	24737780	0.9780864218870798	18
AML	chr2	24737800	24737810	0.9904761877324846	18
AML	chr2	24738230	24738240	0.9485884507497152	18
AML	chr2	24738360	24738370	0.9613900747564104	18
AML	chr2	24738630	24738640	0.9936456051137712	18
AML	chr2	24739170	24739180	0.9944444431198968	18
AML	chr2	24739370	24739380	0.9351204368803236	18
AML	chr2	24739380	24739390	0.9622334473662906	18
AML	chr2	24739440	24739450	0.9522229929765066	18
AML	chr2	24739550	24739560	0.9429652955796983	18
AML	chr2	24739800	24739810	0.943472425142924	18
AML	chr2	24739830	24739840	0.9251523183451759	18
AML	chr2	24739840	24739850	0.953250914812088	18
AML	chr2	24739850	24739860	0.9342704812685648	18
AML	chr2	24739860	24739870	0.950691862238778	18
AML	chr2	24740490	24740500	0.9676162501176199	18
AML	chr2	24740540	24740550	0.9833928545316061	18
AML	chr2	24741190	24741200	0.9880952371491326	18
AML	chr2	24741520	24741530	0.9845823148886362	18
AML	chr2	24741810	24741820	0.9823471042844985	18
AML	chr2	24741820	24741830	0.9888344241513146	18
AML	chr2	24741840	24741850	0.9821138713094923	18
AML	chr2	24741950	24741960	0.9868350161446465	18
AML	chr2	24742030	24742040	0.9408988588386111	18
AML	chr2	24742080	24742090	0.9856588873598311	18
AML	chr2	24742300	24742310	0.9810421003235711	18
AML	chr2	24742440	24742450	0.9831002321508195	18
AML	chr2	24742480	24742490	0.990740739636951	18
AML	chr2	24742550	24742560	0.9240678863392936	18
AML	chr2	24742580	24742590	0.9957264959812164	18
AML	chr2	24742610	24742620	0.9887766573164198	18
AML	chr2	24742710	24742720	0.9774872925546434	18
AML	chr2	24742810	24742820	0.9729650749100579	18
AML	chr2	24743520	24743530	0.9330137603812747	18
AML	chr2	24744010	24744020	0.9371947513686286	18
AML	chr2	24744020	24744030	0.9440490919000962	17
AML	chr2	24744030	24744040	0.9146287441253662	18
AML	chr2	24744150	24744160	0.7540102104345957	18
AML	chr2	24744670	24744680	0.96615755226877	18
AML	chr2	24744940	24744950	0.9642426139778562	18
AML	chr2	24745190	24745200	0.9941176456563613	17
AML	chr2	24745200	24745210	0.9166666679084301	16
AML	chr2	24745220	24745230	0.9877162610783297	17
AML	chr2	24745230	24745240	0.8973958306014538	16
AML	chr2	24745250	24745260	0.9607843125567717	17
AML	chr2	24745260	24745270	0.9779411764705882	17
AML	chr2	24745280	24745290	0.9799465256578782	17
AML	chr2	24745300	24745310	0.9916666679912143	18
AML	chr2	24745310	24745320	0.9783653848701053	18
AML	chr2	24745320	24745330	0.978043923775355	18
AML	chr2	24745390	24745400	0.9799085921711392	18
AML	chr2	24745410	24745420	0.9773704210917155	18
AML	chr2	24745440	24745450	0.9886339240603976	18
AML	chr2	24745450	24745460	0.9764265384938982	18
AML	chr2	24745830	24745840	0.9806317090988159	18
AML	chr2	24746060	24746070	0.9103035728136698	18
AML	chr2	24746260	24746270	0.9876543217235141	18
AML	chr2	24746270	24746280	0.973226418097814	18
AML	chr2	24746280	24746290	0.9861111111111112	18
AML	chr2	24746350	24746360	0.9832745393117269	18
AML	chr2	24746360	24746370	0.9780612422360314	18
AML	chr2	24746410	24746420	0.9645058645142449	18
AML	chr2	24746430	24746440	0.9379078480932448	18
AML	chr2	24746470	24746480	0.9856378138065338	18
AML	chr2	24746480	24746490	0.9826147225168016	18
AML	chr2	24746490	24746500	0.9729500578509437	18
AML	chr2	24746730	24746740	0.6598186294237772	18
AML	chr2	24746830	24746840	0.9837962951925066	18
AML	chr2	24746840	24746850	0.961716526084476	18
AML	chr2	24747290	24747300	0.9609788391325209	18
AML	chr2	24747380	24747390	0.9722222222222222	18
AML	chr2	24747390	24747400	1	17
AML	chr2	24747480	24747490	1	18
AML	chr2	24747490	24747500	0.9681437379784055	18
AML	chr2	24747510	24747520	0.9541313085291121	18
AML	chr2	24747890	24747900	0.9782407383124033	18
AML	chr2	24747900	24747910	1	18
AML	chr2	24747960	24747970	0.9623322420650058	18
AML	chr2	24747970	24747980	0.9751577112409804	18
AML	chr2	24748030	24748040	0.9745370348294576	18
AML	chr2	24748100	24748110	0.9799382719728682	18
AML	chr2	24748180	24748190	0.9882352948188782	17
AML	chr2	24748300	24748310	0.8835799578163359	18
AML	chr2	24748330	24748340	0.9872685174147288	18
AML	chr2	24748340	24748350	0.9904761877324846	18
AML	chr2	24748370	24748380	0.9863021771113077	18
AML	chr2	24748380	24748390	0.9671418401930068	18
AML	chr2	24748500	24748510	0.9604889518684812	18
AML	chr2	24748570	24748580	0.9777777791023254	18
AML	chr2	24748610	24748620	0.9722222222222222	18
AML	chr2	24748650	24748660	0.9777777791023254	18
AML	chr2	24749230	24749240	0.9787181152237786	18
AML	chr2	24749410	24749420	0.983878493309021	18
AML	chr2	24749420	24749430	0.946574353509479	18
AML	chr2	24749430	24749440	0.9104605714480082	18
AML	chr2	24749590	24749600	0.9323419299390581	18
AML	chr2	24750350	24750360	0.9809669620460935	18
AML	chr2	24750740	24750750	0.9745370381408267	18
AML	chr2	24750750	24750760	0.9348032226165136	18
AML	chr2	24750820	24750830	0.9774613314204745	18
AML	chr2	24751040	24751050	0.9722222222222222	18
AML	chr2	24751050	24751060	0.9756423665417565	18
AML	chr2	24751090	24751100	0.9662952754232619	18
AML	chr2	24751130	24751140	0.955693953567081	18
AML	chr2	24751180	24751190	0.9669437574015723	18
AML	chr2	24751210	24751220	0.988196376297209	18
AML	chr2	24751240	24751250	0.9747838411066267	18
AML	chr2	24751260	24751270	0.9671549002329508	18
AML	chr2	24751300	24751310	0.9788873493671417	18
AML	chr2	24751310	24751320	0.989190548658371	18
AML	chr2	24751350	24751360	0.8790643811225891	18
AML	chr2	24751370	24751380	0.9691077470779419	18
AML	chr2	24751380	24751390	0.9777777791023254	18
AML	chr2	24751410	24751420	0.9841690692636702	18
AML	chr2	24751450	24751460	0.956919875409868	18
AML	chr2	24751530	24751540	0.9680359164873759	18
AML	chr2	24751580	24751590	0.9165130423174964	18
AML	chr2	24751710	24751720	0.9584652019871606	18
AML	chr2	24751740	24751750	0.9944444431198968	18
AML	chr2	24751830	24751840	0.982609212398529	18
AML	chr2	24752040	24752050	0.9664983153343201	18
AML	chr2	24752090	24752100	1	18
AML	chr2	24752100	24752110	0.9485449757840898	18
AML	chr2	24752140	24752150	0.9761243363221487	18
AML	chr2	24752260	24752270	0.9778083496623569	18
AML	chr2	24752300	24752310	0.9745614031950632	18
AML	chr2	24752310	24752320	0.9808245036337111	18
AML	chr2	24752320	24752330	0.9628527727391984	18
AML	chr2	24752750	24752760	0.9831738240189023	18
AML	chr2	24753750	24753760	0.9494949016306136	18
AML	chr2	24754260	24754270	0.9534832470946841	18
AML	chr2	24754270	24754280	0.981628782219357	18
AML	chr2	24754330	24754340	0.9879792067739699	18
AML	chr2	24754390	24754400	0.9565540750821432	18
AML	chr2	24754440	24754450	0.9814534684022268	18
AML	chr2	24754640	24754650	0.9643799099657271	18
AML	chr2	24754890	24754900	0.9590472545888689	18
AML	chr2	24755040	24755050	0.9635419547557831	18
AML	chr2	24755130	24755140	0.9701365828514099	18
AML	chr2	24755630	24755640	0.953564272986518	18
AML	chr2	24755870	24755880	0.9858335687054528	18
AML	chr2	24755990	24756000	0.9734567933612399	18
AML	chr2	24756110	24756120	0.9807692310389351	17
AML	chr2	24756120	24756130	0.9954751133918762	17
AML	chr2	24756140	24756150	0.9915966391563416	17
AML	chr2	24756190	24756200	0.9582713113890754	18
AML	chr2	24756200	24756210	0.9799382719728682	18
AML	chr2	24756210	24756220	0.976466049750646	18
AML	chr2	24756550	24756560	0.9759120013978746	18
AML	chr2	24757080	24757090	0.9535122050179375	18
AML	chr2	24757370	24757380	0.9672625660896301	18
AML	chr2	24757550	24757560	0.958024693859948	18
AML	chr2	24757560	24757570	0.9705882352941176	17
AML	chr2	24758000	24758010	0.976225217183431	18
AML	chr2	24758040	24758050	0.981512125995424	18
AML	chr2	24758060	24758070	0.9758569134606255	18
AML	chr2	24758170	24758180	0.9833672079775069	18
AML	chr2	24758730	24758740	0.9690320591131846	18
AML	chr2	24758770	24758780	0.972320427497228	18
AML	chr2	24758840	24758850	0.9376152356465658	18
AML	chr2	24758940	24758950	0.9794369373056624	18
AML	chr2	24759590	24759600	0.9609641366534762	18
AML	chr2	24760170	24760180	0.9635416679084301	16
AML	chr2	24760240	24760250	0.9673721359835731	18
AML	chr2	24760280	24760290	1	18
AML	chr2	24760300	24760310	0.984375	16
AML	chr2	24760400	24760410	0.9886956976519691	18
AML	chr2	24760430	24760440	0.981103801065021	18
AML	chr2	24760440	24760450	0.9870276219315	18
AML	chr2	24760450	24760460	0.997076024611791	18
AML	chr2	24760480	24760490	0.9420883688661787	18
AML	chr2	24760830	24760840	0.9421660403410593	18
AML	chr2	24760900	24760910	0.9859087930785285	18
AML	chr2	24760990	24761000	0.9885532955328623	18
AML	chr2	24761030	24761040	0.9827021261056265	18
AML	chr2	24761090	24761100	0.9585473901695676	18
AML	chr2	24761120	24761130	0.9882012406984965	18
AML	chr2	24761140	24761150	0.9619289040565491	18
AML	chr2	24761260	24761270	0.851515976091226	18
AML	chr2	24761280	24761290	0.9818582269880507	18
AML	chr2	24761780	24761790	0.9368524154027303	18
AML	chr2	24761860	24761870	0.962205191453298	18
AML	chr2	24762090	24762100	0.9828703701496124	18
AML	chr2	24762120	24762130	0.9727272722456191	18
AML	chr2	24762130	24762140	0.9846153855323792	18
AML	chr2	24762150	24762160	0.9797178109486898	18
AML	chr2	24762200	24762210	0.9592425525188446	18
AML	chr2	24762690	24762700	0.9729923175440894	18
AML	chr2	24762910	24762920	0.948734054962794	18
AML	chr2	24763260	24763270	0.9928154680464003	18
AML	chr2	24763300	24763310	0.98409836490949	18
AML	chr2	24763310	24763320	0.9769290122720931	18
AML	chr2	24763390	24763400	0.9957264959812164	18
AML	chr2	24763400	24763410	0.9838383860058255	18
AML	chr2	24763460	24763470	0.9852941176470589	17
AML	chr2	24763470	24763480	1	17
AML	chr2	24763480	24763490	0.9934640526771545	17
AML	chr2	24763490	24763500	0.9836601299398086	17
AML	chr2	24763510	24763520	0.9805555567145348	16
AML	chr2	24763520	24763530	0.9743303582072258	16
AML	chr2	24763680	24763690	0.9812499992549419	16
AML	chr2	24763700	24763710	0.9921875	16
AML	chr2	24763720	24763730	1	17
AML	chr2	24763760	24763770	0.9777109225591024	18
AML	chr2	24763780	24763790	0.9965277777777778	18
AML	chr2	24763790	24763800	0.9842047923141055	18
AML	chr2	24763810	24763820	0.9744164314534929	18
AML	chr2	24763830	24763840	0.9695767197344038	18
AML	chr2	24763840	24763850	0.990692310863071	18
AML	chr2	24763860	24763870	0.9808599452177683	18
AML	chr2	24763870	24763880	0.9684359133243561	18
AML	chr2	24763910	24763920	0.9757738245858086	18
AML	chr2	24764130	24764140	0.8344784784648154	18
AML	chr2	24764250	24764260	0.9217461827728484	18
AML	chr2	24764750	24764760	0.9492097430759006	18
AML	chr2	24764760	24764770	0.9591524236732059	18
AML	chr2	24765040	24765050	0.980640838543574	18
AML	chr2	24765090	24765100	0.9672584235668182	18
AML	chr2	24765110	24765120	0.9700396822558509	18
AML	chr2	24765120	24765130	0.9683164358139038	18
AML	chr2	24765150	24765160	1	18
AML	chr2	24765170	24765180	0.9790598286522759	18
AML	chr2	24765220	24765230	0.9652777777777778	18
AML	chr2	24765230	24765240	0.9740740723080106	18
AML	chr2	24765240	24765250	0.9247554904884763	18
AML	chr2	24765270	24765280	0.9663043022155762	18
AML	chr2	24765310	24765320	0.9862433837519752	18
AML	chr2	24765320	24765330	0.958407911989424	18
AML	chr2	24765360	24765370	0.9666215711169772	18
AML	chr2	24765370	24765380	0.9736775656541189	18
AML	chr2	24765390	24765400	0.7675712147934569	18
AML	chr2	24765410	24765420	0.7935746370090379	18
AML	chr2	24765420	24765430	0.9411980194203994	17
AML	chr2	24765430	24765440	0.9294117654071135	17
AML	chr2	24765440	24765450	0.6728033398588499	18
AML	chr2	24765450	24765460	0.6710613285087876	18
AML	chr2	24765470	24765480	0.5372157883312967	18
AML	chr2	24765510	24765520	0.38325272252162296	18
AML	chr2	24765910	24765920	0.9934640526771545	17
AML	chr2	24765920	24765930	0.9722222222222222	18
AML	chr2	24765930	24765940	0.9713804721832275	18
AML	chr2	24765940	24765950	0.967106968164444	18
AML	chr2	24766040	24766050	0.97334995203548	18
AML	chr2	24766480	24766490	0.6302910066313214	18
AML	chr2	24766700	24766710	0.560792450275686	18
AML	chr2	24766720	24766730	0.2525352757010195	18
AML	chr2	24766780	24766790	0.2674843722747432	18
AML	chr2	24766800	24766810	0.5564814826680554	18
AML	chr2	24766840	24766850	0.434903868370586	18
AML	chr2	24767060	24767070	0.693221076288157	18
AML	chr2	24767170	24767180	0.91832125849194	18
AML	chr2	24767400	24767410	0.9852704273329841	18
AML	chr2	24767560	24767570	0.9649647937880622	18
AML	chr2	24767990	24768000	0.9817340042856004	18
AML	chr2	24768060	24768070	0.9731203019618988	18
AML	chr2	24768170	24768180	0.986574070321189	18
AML	chr2	24768240	24768250	0.959053658776813	18
AML	chr2	24768250	24768260	0.9184523804320229	18
AML	chr2	24768270	24768280	0.961296988858117	18
AML	chr2	24768320	24768330	0.9624999927149879	18
AML	chr2	24768500	24768510	0.9814814825852712	18
AML	chr2	24768550	24768560	1	16
AML	chr2	24768730	24768740	0.9236570364899106	18
AML	chr2	24768750	24768760	0.9771825406286452	18
AML	chr2	24768760	24768770	0.9788253936502669	18
AML	chr2	24768800	24768810	0.874186000890202	18
AML	chr2	24768820	24768830	0.9158194859822592	18
AML	chr2	24768840	24768850	0.9784487386544546	18
AML	chr2	24769010	24769020	0.9372685154279073	18
AML	chr2	24769780	24769790	0.9777738220161862	18
AML	chr2	24770060	24770070	0.9897875818941329	18
AML	chr2	24770270	24770280	0.9846182333098518	18
AML	chr2	24770660	24770670	0.9637399646970961	18
AML	chr2	24771080	24771090	0.9697468943066068	18
AML	chr2	24771180	24771190	0.9685314728154076	18
AML	chr2	24771260	24771270	0.9639660484260983	18
AML	chr2	24771320	24771330	0.9413580265310075	18
AML	chr2	24771330	24771340	0.9333333339956071	18
AML	chr2	24771440	24771450	0.9476382169458601	18
AML	chr2	24771490	24771500	0.9404105411635505	18
AML	chr2	24772060	24772070	0.9736957881185744	18
AML	chr2	24772230	24772240	0.9965277777777778	18
AML	chr2	24772240	24772250	0.9608867466449738	18
AML	chr2	24772370	24772380	0.9776987713925979	17
AML	chr2	24772380	24772390	0.9730359183417426	18
AML	chr2	24772580	24772590	0.9586904346942902	18
AML	chr2	24772750	24772760	0.9673119518491957	18
AML	chr2	24772870	24772880	0.9617675244808197	18
AML	chr2	24773000	24773010	0.9750178058942159	18
AML	chr2	24773010	24773020	0.9960317446125878	18
AML	chr2	24773120	24773130	1	18
AML	chr2	24773300	24773310	0.9829977419641283	18
AML	chr2	24773310	24773320	1	18
AML	chr2	24773350	24773360	0.8964686575863097	18
AML	chr2	24773370	24773380	0.963860829671224	18
AML	chr2	24773380	24773390	0.8826499150858985	18
AML	chr2	24773390	24773400	0.9754901949097129	17
AML	chr2	24773420	24773430	0.9712418282733244	17
AML	chr2	24773430	24773440	0.96093710380442	17
AML	chr2	24773690	24773700	0.9504357245233324	18
AML	chr2	24773790	24773800	0.5348322639862696	18
AML	chr2	24774060	24774070	0.9447438021500906	18
AML	chr2	24774200	24774210	0.9740029937691159	18
AML	chr2	24774280	24774290	0.9773995048469968	18
AML	chr2	24774290	24774300	0.9599925577640533	18
AML	chr2	24774360	24774370	0.9767687850528293	18
AML	chr2	24774490	24774500	0.9153916438420614	18
AML	chr2	24774570	24774580	0.9035618305206299	18
AML	chr2	24774580	24774590	0.9479204217592875	18
AML	chr2	24774840	24774850	0.9009890059630076	18
AML	chr2	24774890	24774900	0.9753005107243856	18
AML	chr2	24774900	24774910	0.9835648172431521	18
AML	chr2	24775000	24775010	0.9522470368279351	18
AML	chr2	24775030	24775040	0.9519977304670546	18
AML	chr2	24775040	24775050	0.9457632833056979	18
AML	chr2	24775060	24775070	0.9628341462877061	18
AML	chr2	24775120	24775130	0.8468354377481673	18
AML	chr2	24775220	24775230	0.9890873001681434	18
AML	chr2	24775260	24775270	0.986111111500684	17
AML	chr2	24775280	24775290	0.8283238410949707	18
AML	chr2	24775440	24775450	0.987238840924369	18
AML	chr2	24775780	24775790	0.9080220758914948	18
AML	chr2	24775920	24775930	0.9299288358953264	18
AML	chr2	24775950	24775960	0.9206669860415988	18
AML	chr2	24775980	24775990	0.9656971659925249	18
AML	chr2	24776140	24776150	0.990575396352344	18
AML	chr2	24776170	24776180	0.9681584338347117	18
