locus_id	chrom	start_gr1	end_gr1	start_bed0	end_bed	summit_gr1	summit_bed0	representative_sample	representative_group	representative_qvalue	representative_signal	representative_normalized_rank	AML_n_patients	PBMC_n_patients	AML_n_peak_positive	PBMC_n_peak_positive	AML_peak_fraction	PBMC_peak_fraction	AML_group_mean_RPGC	PBMC_group_mean_RPGC	AML_group_median_RPGC	PBMC_group_median_RPGC	peak_fraction_difference	mean_RPGC_difference	median_RPGC_difference	overlaps_intron2	summit_in_intron2
73	chr2	25228758	25229258	25228757	25229258	25229008	25229007	472	AML	2.55272	4.78583	0.1428571428571429	13	3	1	0	0.07692307692307693	0	2.8940287627475376	2.7897701201562635	2.974009516710293	2.3231999234049145	0.07692307692307693	0.10425864259127415	0.6508095933053784	FALSE	FALSE
74	chr2	25230654	25231154	25230653	25231154	25230904	25230903	566	AML	2.08066	3.73921	0.15625	13	3	1	0	0.07692307692307693	0	1.902978783229996	3.0675200599079044	1.6687161363289504	2.1662831839449153	0.07692307692307693	-1.1645412766779084	-0.4975670476159648	FALSE	FALSE
75	chr2	25231524	25232024	25231523	25232024	25231774	25231773	773	AML	2.44485	4.17246	0	13	3	1	0	0.07692307692307693	0	1.896998568227649	2.2374038265612786	1.033337243778739	2.3135063938513962	0.07692307692307693	-0.34040525833362967	-1.2801691500726573	FALSE	FALSE
76	chr2	25250802	25251302	25250801	25251302	25251052	25251051	773	AML	3.27879	4.60052	0.30000000000000004	13	3	1	0	0.07692307692307693	0	3.536798916250335	4.448546908334819	2.132608035367406	3.595045196795892	0.07692307692307693	-0.9117479920844844	-1.4624371614284857	FALSE	FALSE
77	chr2	25251513	25252013	25251512	25252013	25251763	25251762	018	AML	4.38849	5.2691	0.6	13	3	4	1	0.3076923076923077	0.3333333333333333	6.083983230440733	5.414342916257684	4.657898561683243	5.398186293428767	-0.025641025641025605	0.6696403141830487	-0.7402877317455241	FALSE	FALSE
78	chr2	25252153	25252653	25252152	25252653	25252403	25252402	990	AML	15.4982	9.05405	0.8235294117647058	13	3	4	2	0.3076923076923077	0.6666666666666666	6.098485257152257	7.589581272123024	4.718438732409906	6.3713244469817765	-0.3589743589743589	-1.4910960149707666	-1.6528857145718705	FALSE	FALSE
79	chr2	25263093	25263593	25263092	25263593	25263343	25263342	270	AML	2.56555	4.42053	0.19999999999999996	13	3	1	0	0.07692307692307693	0	1.2753942676830015	1.8833084786961416	0.7351121678799688	1.8718360122330413	0.07692307692307693	-0.6079142110131401	-1.1367238443530725	FALSE	FALSE
80	chr2	25267691	25268191	25267690	25268191	25267941	25267940	673	PBMC	4.15255	4.89257	0.7948717948717949	13	3	0	1	0	0.3333333333333333	1.0555359651722813	2.641036315116578	0.9712724271648658	2.6512448171417633	-0.3333333333333333	-1.5855003499442966	-1.6799723899768975	FALSE	FALSE
81	chr2	25273323	25273823	25273322	25273823	25273573	25273572	773	AML	5.68996	5.76812	0.5333333333333333	13	3	1	1	0.07692307692307693	0.3333333333333333	3.1078793803393228	6.3057965291633025	2.7421809389681635	5.020153432549117	-0.2564102564102564	-3.1979171488239797	-2.2779724935809536	FALSE	FALSE
82	chr2	25275188	25275688	25275187	25275688	25275438	25275437	018	AML	3.32086	4.58993	0.4	13	3	2	0	0.15384615384615385	0	4.453232557455479	4.465583809200954	4.259040305238522	3.254678980319086	0.15384615384615385	-0.012351251745474912	1.004361324919436	FALSE	FALSE
83	chr2	25276643	25277143	25276642	25277143	25276893	25276892	576	PBMC	5.33006	5.07375	0.5789473684210527	13	3	3	2	0.23076923076923078	0.6666666666666666	4.87168296535096	9.970842869378533	3.175662203939137	6.577023251089983	-0.43589743589743585	-5.099159904027573	-3.401361047150846	FALSE	FALSE
84	chr2	25277156	25277656	25277155	25277656	25277406	25277405	773	AML	5.28693	5.49803	0.4666666666666667	13	3	5	2	0.38461538461538464	0.6666666666666666	5.761358298099336	7.648162712673307	4.348431888454688	5.727334859128484	-0.282051282051282	-1.8868044145739713	-1.3789029706737956	FALSE	FALSE
85	chr2	25279254	25279754	25279253	25279754	25279504	25279503	673	PBMC	2.54635	3.54755	0.33333333333333337	13	3	2	1	0.15384615384615385	0.3333333333333333	3.6882855938671737	3.298805022667982	2.9626360275074393	3.632624067470223	-0.17948717948717946	0.38948057119919177	-0.6699880399627838	FALSE	FALSE
86	chr2	25285846	25286346	25285845	25286346	25286096	25286095	576	PBMC	9.17042	7.74317	0.736842105263158	13	3	0	3	0	1	2.8036634838381582	9.585600118833785	2.6437614711220867	6.801547096161071	-1	-6.781936634995627	-4.157785625038985	FALSE	FALSE
87	chr2	25290937	25291437	25290936	25291437	25291187	25291186	546	AML	2.53717	3.55051	0	13	3	1	0	0.07692307692307693	0	3.1856953335232987	3.066310589819532	2.213540680632144	2.8757667791343735	0.07692307692307693	0.11938474370376673	-0.6622260985022295	FALSE	FALSE
